# 呼び径マスタ: 管種id,呼び径,傍記表示,外径mm
VP,13,13,18
VP,16,16,22
VP,20,20,26
VP,25,25,32
VP,30,30,38
VP,40,40,48
VP,50,50,60
VP,65,65,76
VP,75,75,89
VP,100,100,114
VP,125,125,140
VP,150,150,165
VP,200,200,216
HIVP,13,13,18
HIVP,16,16,22
HIVP,20,20,26
HIVP,25,25,32
HIVP,30,30,38
HIVP,40,40,48
HIVP,50,50,60
HIVP,65,65,76
HIVP,75,75,89
HIVP,100,100,114
HIVP,125,125,140
HIVP,150,150,165
HTVP,13,13,18
HTVP,16,16,22
HTVP,20,20,26
HTVP,25,25,32
HTVP,30,30,38
HTVP,40,40,48
HTVP,50,50,60
HTVP,65,65,76
HTVP,75,75,89
HTVP,100,100,114
VU,40,40,48
VU,50,50,60
VU,65,65,76
VU,75,75,89
VU,100,100,114
VU,125,125,140
VU,150,150,165
VU,200,200,216
VU,250,250,267
VU,300,300,318
SGP-W,15,15A,21.7
SGP-W,20,20A,27.2
SGP-W,25,25A,34.0
SGP-W,32,32A,42.7
SGP-W,40,40A,48.6
SGP-W,50,50A,60.5
SGP-W,65,65A,76.3
SGP-W,80,80A,89.1
SGP-W,100,100A,114.3
SGP-W,125,125A,139.8
SGP-W,150,150A,165.2
SGP-W,200,200A,216.3
SGP-W,250,250A,267.4
SGP-W,300,300A,318.5
SGP-VB,15,15A,21.7
SGP-VB,20,20A,27.2
SGP-VB,25,25A,34.0
SGP-VB,32,32A,42.7
SGP-VB,40,40A,48.6
SGP-VB,50,50A,60.5
SGP-VB,65,65A,76.3
SGP-VB,80,80A,89.1
SGP-VB,100,100A,114.3
SGP-VB,125,125A,139.8
SGP-VB,150,150A,165.2
CUP,10,10,12.7
CUP,15,15,15.88
CUP,20,20,22.22
CUP,25,25,28.58
CUP,32,32,34.92
CUP,40,40,41.28
CUP,50,50,53.98
SU,13,13Su,15.88
SU,20,20Su,22.22
SU,25,25Su,28.58
SU,30,30Su,34.0
SU,40,40Su,42.7
SU,50,50Su,48.6
SU,60,60Su,60.5
# 架橋ポリエチレン管(JIS K 6787)・ポリブテン管(JIS K 6778): 呼び径と外径は共通
PEX,10,10A,13
PEX,13,13A,17
PEX,16,16A,21.5
PEX,20,20A,27
PEX,25,25A,34
PB,10,10A,13
PB,13,13A,17
PB,16,16A,21.5
PB,20,20A,27
PB,25,25A,34
